path,type,level,section,de,cau,option,language,key,alias,text,mode,status,error,route
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/96_2_d.png,nghe,topik2,listen,96,2,d,en,type=nghe|level=topik2|cau=2|opt=d|lang=en,topik2_listen_96_2_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/96_2_d.png,nghe,topik2,listen,96,2,d,ko,type=nghe|level=topik2|cau=2|opt=d|lang=ko,topik2_listen_96_2_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/35_1_d.png,nghe,topik2,listen,35,1,d,en,type=nghe|level=topik2|cau=1|opt=d|lang=en,topik2_listen_35_1_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/35_1_d.png,nghe,topik2,listen,35,1,d,ko,type=nghe|level=topik2|cau=1|opt=d|lang=ko,topik2_listen_35_1_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/52_2_d.png,nghe,topik2,listen,52,2,d,en,type=nghe|level=topik2|cau=2|opt=d|lang=en,topik2_listen_52_2_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/52_2_d.png,nghe,topik2,listen,52,2,d,ko,type=nghe|level=topik2|cau=2|opt=d|lang=ko,topik2_listen_52_2_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/41_2_b.png,nghe,topik2,listen,41,2,b,en,type=nghe|level=topik2|cau=2|opt=b|lang=en,topik2_listen_41_2_b,"[TEXT]

[/TEXT]

[DESC]
A man and a woman are planting a tree. The woman is holding a shovel, and the man is kneeling down. They are surrounded by trees and a bench.
[/DESC]",llava:llava-1.5-7b-hf,ok_new,,scene
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/41_2_b.png,nghe,topik2,listen,41,2,b,ko,type=nghe|level=topik2|cau=2|opt=b|lang=ko,topik2_listen_41_2_b,"[TEXT]

[/TEXT]

[DESC]
한 남자와 한 여자가 나무를 심고 있었는데, 그 여자는 을 들고 있었는데, 그 남자는 무릎을 꿇고 있었습니다. 나무와 벤치가 둘 다 둘러싸고 있었습니다.
[/DESC]",llava:llava-1.5-7b-hf,ok_new,,scene
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/83_3_d.png,nghe,topik2,listen,83,3,d,en,type=nghe|level=topik2|cau=3|opt=d|lang=en,topik2_listen_83_3_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/83_3_d.png,nghe,topik2,listen,83,3,d,ko,type=nghe|level=topik2|cau=3|opt=d|lang=ko,topik2_listen_83_3_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/52_3_c.png,nghe,topik2,listen,52,3,c,en,type=nghe|level=topik2|cau=3|opt=c|lang=en,topik2_listen_52_3_c,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/52_3_c.png,nghe,topik2,listen,52,3,c,ko,type=nghe|level=topik2|cau=3|opt=c|lang=ko,topik2_listen_52_3_c,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/36_2_b.png,nghe,topik2,listen,36,2,b,en,type=nghe|level=topik2|cau=2|opt=b|lang=en,topik2_listen_36_2_b,"[TEXT]

[/TEXT]

[DESC]
[TEXT]
A woman in a hat and a man are standing next to a suitcase.
[/TEXT]

[DESC]
A woman in a hat and a man are standing next to a suitcase.
[/DESC]",llava:llava-1.5-7b-hf,ok_new,,scene
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/36_2_b.png,nghe,topik2,listen,36,2,b,ko,type=nghe|level=topik2|cau=2|opt=b|lang=ko,topik2_listen_36_2_b,"[TEXT]

[/TEXT]

[DESC]
모자를 입은 여자와 남자가 가방 옆에 서 있습니다.
[/DESC]",llava:llava-1.5-7b-hf,ok_new,,scene
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/36_1_d.png,nghe,topik2,listen,36,1,d,en,type=nghe|level=topik2|cau=1|opt=d|lang=en,topik2_listen_36_1_d,"[TEXT]

[/TEXT]

[DESC]
[TEXT]
A woman and a man are standing in a room.
[/TEXT]

[DESC]
A man and a woman are standing in a room.
[/DESC]",llava:llava-1.5-7b-hf,ok_new,,scene
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/36_1_d.png,nghe,topik2,listen,36,1,d,ko,type=nghe|level=topik2|cau=1|opt=d|lang=ko,topik2_listen_36_1_d,"[TEXT]

[/TEXT]

[DESC]
한 남자와 한 남자가 한 방에 서 있습니다.
[/DESC]",llava:llava-1.5-7b-hf,ok_new,,scene
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/60_1_d.png,nghe,topik2,listen,60,1,d,en,type=nghe|level=topik2|cau=1|opt=d|lang=en,topik2_listen_60_1_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/60_1_d.png,nghe,topik2,listen,60,1,d,ko,type=nghe|level=topik2|cau=1|opt=d|lang=ko,topik2_listen_60_1_d,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/47_1_a.png,nghe,topik2,listen,47,1,a,en,type=nghe|level=topik2|cau=1|opt=a|lang=en,topik2_listen_47_1_a,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/47_1_a.png,nghe,topik2,listen,47,1,a,ko,type=nghe|level=topik2|cau=1|opt=a|lang=ko,topik2_listen_47_1_a,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/47_3_a.png,nghe,topik2,listen,47,3,a,en,type=nghe|level=topik2|cau=3|opt=a|lang=en,topik2_listen_47_3_a,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/47_3_a.png,nghe,topik2,listen,47,3,a,ko,type=nghe|level=topik2|cau=3|opt=a|lang=ko,topik2_listen_47_3_a,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/91_2_b.png,nghe,topik2,listen,91,2,b,en,type=nghe|level=topik2|cau=2|opt=b|lang=en,topik2_listen_91_2_b,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/91_2_b.png,nghe,topik2,listen,91,2,b,ko,type=nghe|level=topik2|cau=2|opt=b|lang=ko,topik2_listen_91_2_b,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
/kaggle/input/images-vision2text/data/topik2/listen/1-3/dataset/images/64_3_b.png,nghe,topik2,listen,64,3,b,en,type=nghe|level=topik2|cau=3|opt=b|lang=en,topik2_listen_64_3_b,,llava:llava-1.5-7b-hf,infer_fail,"Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cuda:0! (when checking argument for argument weight in method wrapper_CUDA__cudnn_convolution)",pure_text
